address,assetType,auctionStatus,bidIncrement,biddingEnds,biddingStarts,broker1,broker2,broker3,buildingSize,currentBid,dateAdded,minimumBid,propertyName,propertyType,property_url,registeredBidders,reserveMet,size,source,startingBid,units,yearBuilt
1999 Bryan St Dallas TX 75201,Real Estate,,0.0,2025-10-29T16:00:00.000Z,2025-10-27T16:00:00.000Z,Mike Hardage,Stephen Simon,Steve Pumper,734443.0,0.0,,0.0,Harwood Center - Class A Dallas CBD Office Tower,Office,https://rimarketplace.com/auction/2731/harwood-center-class-a-dallas-cbd-office-tower,0,False,0.0,RMI,10000000.0,,1983
108 Leigus Road Wallingford CT 06492,Real Estate,,0.0,2025-10-16T16:00:00.000Z,2025-10-14T16:00:00.000Z,Matt Torrance,Al Mirin,,288795.0,0.0,,0.0,"Receiver Sale: Campus at Greenhill | Wallingford, CT",Office,https://rimarketplace.com/auction/2664/receiver-sale-campus-at-greenhill-wallingford-ct,0,False,0.0,RMI,2000000.0,,2012
5828 Cascade Road Lake Placid NY 12946,Real Estate,,0.0,2025-10-16T16:00:00.000Z,2025-10-14T16:00:00.000Z,Vasilis Halakos,Ketan Patel,Lillian Pinheiro,0.0,0.0,,0.0,Rodeway Inn Lake Placid | Spark by Hilton Conversion,Hospitality,https://rimarketplace.com/auction/2730/rodeway-inn-lake-placid-spark-by-hilton-conversion,0,False,0.0,RMI,1000000.0,,
"15565 East and West Northland Drive, 20755 & 20905 Greenfield Road Southfield MI 48075",Real Estate,,0.0,2025-10-16T16:00:00.000Z,2025-10-14T16:00:00.000Z,Paul Kerber,Mike Banwell,"Ian Grusd, CCIM SIOR",399272.0,0.0,,0.0,Northland Towers Office Plaza | Redevelopment Opportunity | Detroit MSA,Office,https://rimarketplace.com/auction/2507/northland-towers-office-plaza-redevelopment-opportunity-detroit-msa,0,False,0.0,RMI,1250000.0,,1962-1968
Oceanside Oceanside CA 92056,Real Estate,,0.0,2025-10-16T16:00:00.000Z,2025-10-14T16:00:00.000Z,Scott Frazier,,,0.0,0.0,,0.0,"Receiver Sale: 80-Unit Senior Housing | Oceanside, CA",Senior Housing,https://rimarketplace.com/auction/2708/receiver-sale-80-unit-senior-housing-oceanside-ca,0,False,0.0,RMI,3250000.0,,1999
1 North State Street Chicago IL 60602,Real Estate,,0.0,2025-10-16T16:00:00.000Z,2025-10-14T16:00:00.000Z,Paul Barile,,,170507.0,0.0,,0.0,Servicer Sale: Chicago Retail Property on Iconic State Street,Retail,https://rimarketplace.com/auction/2735/servicer-sale-chicago-retail-property-on-iconic-state-street,0,False,0.0,RMI,2000000.0,,1912
2100 E Nasa Pkwy Seabrook TX 77586,Real Estate,,0.0,2025-10-16T16:00:00.000Z,2025-10-14T16:00:00.000Z,Gus Lagos,Scott Jones,Derek Schuster,24700.0,0.0,,0.0,"Seabrook Shopping Center | 75% Occupied | 24,700 SF",Retail,https://rimarketplace.com/auction/2728/seabrook-shopping-center-75-occupied-24700-sf,0,False,0.0,RMI,1000000.0,,2008
8651 Grant St Thornton CO 80229,Real Estate,,0.0,2025-10-16T16:00:00.000Z,2025-10-14T16:00:00.000Z,Mike Banwell,Cory Gross,,16751.0,0.0,,0.0,High-Visibility Retail/Warehouse: 188K+ VPD,Mixed Use,https://rimarketplace.com/auction/2719/high-visibility-retailwarehouse-188k-vpd,0,False,0.0,RMI,1150000.0,,2002
1753 US-2 Havre MT 59501,Real Estate,,0.0,2025-10-16T16:00:00.000Z,2025-10-14T16:00:00.000Z,Thomas Dobrowski,Katharine French,Wills Allen,200772.0,0.0,,0.0,"Nationally Anchored Retail Center with Outparcel Opportunities | Havre, MT",Retail,https://rimarketplace.com/auction/2687/nationally-anchored-retail-center-with-outparcel-opportunities-havre-mt,0,False,0.0,RMI,750000.0,,1978
2650 West Market St. Lima OH 45805,Real Estate,,0.0,2025-10-16T16:00:00.000Z,2025-10-14T16:00:00.000Z,Will Mathews,Chad DeFoor,Marianne Taylor,117120.0,0.0,,0.0,REO Sale: Value-Add Multi | Mount Vernon Village,Multifamily,https://rimarketplace.com/auction/2736/reo-sale-value-add-multi-mount-vernon-village,0,False,0.0,RMI,750000.0,,1971
