Property URL,Property Name,Address,Bidding Starts,Bidding Ends,Starting Bid,Current Bid,Bid Increment,Reserve Status,Property Type,Year Built,Broker 1,Broker 2,Broker 3,Total Building Size,Building Size,Source,Scraped At
https://www.loopnet.com/Listing/1230-Main-St-Wellsville-OH/37322988/,Family Dollar + Adjacent Land | 1230 Main St,"1230 Main St, Wellsville, OH 43968",2025-10-13T19:00:00,2025-10-15T20:00:00,100000.0,0,50000.0,Reserve Not Met,Retail,2000,Barry Swatsenbarg,Matt Terrace,Bradley Carver,8000,8000,LoopNet,2025-09-30T16:33:26.050970
https://www.loopnet.com/Listing/213-Kleberg-Corpus-Christi-TX/37653634/,Beachfront Dev Site Near Top Attractions | 213 Kleberg,"213 Kleberg, Corpus Christi, TX 78402",2025-11-10T19:00:00,2025-11-12T19:00:00,125000.0,0,50000.0,Reserve Not Met,Land,,"Jon Galindo, CCIM",Keisha Hartshorn,,,,LoopNet,2025-09-30T16:33:29.188224
https://www.loopnet.com/Listing/746-S-Los-Angeles-St-Los-Angeles-CA/37411952/,Ground-Floor Retail Condo | Fashion District | 746 S Los Angeles St,"746 S Los Angeles St, Los Angeles, CA 90014",2025-10-27T18:00:00,2025-10-29T18:00:00,400000.0,0,100000.0,Reserve Not Met,Retail,1914,Martin Porter,John Artozqui,,,,LoopNet,2025-09-30T16:33:59.218312
https://www.loopnet.com/Listing/River-Square-Marketplace-Value-Add/37599382/,"River Square Marketplace | Value-Add - Columbus, GA for Sale | LoopNet",,,,0,0,0,,,,,,,,,LoopNet,2025-09-30T16:34:02.002380
https://www.loopnet.com/Listing/8221-E-61st-St-Tulsa-OK/37190744/,High-Traffic Corner Retail Center with Upside | 8221 E 61st St,"8221 E 61st St, Tulsa, OK 74133",2025-10-20T19:00:00,2025-10-22T20:00:00,1500000.0,0,500000.0,Reserve Not Met,Retail,1985,Chris King,Victoria Quade,Brian Brockman,59614,59614,LoopNet,2025-09-30T16:34:05.393901
https://www.loopnet.com/Listing/1607-E-Cesar-Chavez-St-Austin-TX/33073167/,Prime E Cesar Chavez Bungalow | Austin | 1607 E Cesar Chavez St,"1607 E Cesar Chavez St, Austin, TX 78702",2025-10-20T19:00:00,2025-10-22T19:00:00,250000.0,0,100000.0,Reserve Not Met,Retail,1925,Paul Byars,Jake Malone,John Artozqui,1851,1851,LoopNet,2025-09-30T16:34:08.521927
https://www.loopnet.com/Listing/Rare-Historical-Retail-Office/31576039/,Rare Historical Retail & Office,,2025-11-10T19:00:00,2025-11-12T19:00:00,375000.0,0,100000.0,Reserve Not Met,,,Julie Santoboni,Taylor Cunningham,,,,LoopNet,2025-09-30T16:34:11.478928
https://www.loopnet.com/Listing/10127-Heacock-St-Moreno-Valley-CA/34495261/,17.68 Residential Acres | Inland Empire | 10127 Heacock St,"10127 Heacock St, Moreno Valley, CA 92557",2025-10-20T19:00:00,2025-10-22T20:00:00,150000.0,0,50000.0,Reserve Not Met,Land,,Don Archer,Fabian Chapa,Miguel Chapa,,,LoopNet,2025-09-30T16:34:14.365639
https://www.loopnet.com/Listing/Value-Add-Office-Portfolio-w-Cash-Flow/37385352/,Value-Add Office Portfolio w/ Cash Flow,,2025-10-20T19:00:00,2025-10-22T20:30:00,1000000.0,0,250000.0,Reserve Not Met,Office,,Jacklene Chesler,Patrick Norris,Cheri Mascitelli,,,LoopNet,2025-09-30T16:34:17.735129
https://www.loopnet.com/Listing/465-5th-St-Burlington-CO/37171438/,Grace Manor Care Center | Value-Add | 465 5th St,"465 5th St, Burlington, CO 80807",2025-10-20T19:00:00,2025-10-22T19:00:00,425000.0,0,100000.0,Reserve Not Met,Health Care,1985,Vincent Viverito,Shani Shtern,Sophy Cardenas,,,LoopNet,2025-09-30T16:34:20.630468
https://www.loopnet.com/Listing/306-Main-St-Edgefield-SC/36074889/,STNL | US Renal Care | 306 Main St,"306 Main St, Edgefield, SC 29824",2025-09-25T19:00:00,2025-10-08T19:00:00,1.0,12501.0,2500.0,Reserve Met,Office,1990,Steven Schiavello,Patrick Gray,Pace Zambito,6250,6250,LoopNet,2025-09-30T16:34:23.844517
https://www.loopnet.com/Listing/41000-W-7-Mile-Rd-Northville-MI/34383411/,Yager Professional Center | Office/ Medical | 41000 W 7 Mile Rd,"41000 W 7 Mile Rd, Northville, MI 48167",2025-10-13T19:00:00,2025-10-15T18:00:00,0,0,250000.0,Reserve Not Met,Office,1984,Nicholas Sinishtaj,Amen Almukhtar,,26950,26950,LoopNet,2025-09-30T16:34:54.502264
https://www.loopnet.com/Listing/8101-N-Church-Rd-Kansas-City-MO/36811001/,Fairfield Inn & Suites Kansas City Liberty | 8101 N Church Rd,"8101 N Church Rd, Kansas City, MO 64158",2025-09-29T19:00:00,2025-10-01T19:00:00,1500000.0,1500000.0,500000.0,Reserve Not Met,Hospitality,1991,Dharam Chaudhari,Pace Zambito,,,,LoopNet,2025-09-30T16:34:56.845139
https://www.loopnet.com/Listing/5665-McClelland-Dr-Baton-Rouge-LA/35749088/,REO Sale | The Palms Apartments | 5665 McClelland Dr,"5665 McClelland Dr, Baton Rouge, LA 70805",2025-10-20T19:00:00,2025-10-22T20:30:00,350000.0,0,100000.0,Reserve Not Met,Multifamily,1970,Mark Segalla,Jameson Kuykendall,,,,LoopNet,2025-09-30T16:35:00.358112
https://www.loopnet.com/Listing/1120-S-Pointe-Pky-Shreveport-LA/37021979/,Fully Leased Office Complex | 1120 S Pointe Pky,"1120 S Pointe Pky, Shreveport, LA 71105",2025-11-03T19:00:00,2025-11-05T19:00:00,400000.0,0,100000.0,Reserve Not Met,Office,1983,Clyde Gumbs,Justin Caudill,Steve Greer,21630,21630,LoopNet,2025-09-30T16:35:31.536667
https://www.loopnet.com/Listing/Offices-Just-One-Block-from-Chico-State/37654276/,Offices Just One Block from Chico State,,2025-11-10T19:00:00,2025-11-12T19:00:00,500000.0,0,250000.0,Reserve Not Met,Office,,Michael Donnelly,Sophy Cardenas,Brian Littrell,,,LoopNet,2025-09-30T16:35:35.397018
https://www.loopnet.com/Listing/Value-Add-Meriden-Executive-Park/37457745/,Value-Add | Meriden Executive Park,,2025-10-20T19:00:00,2025-10-22T21:00:00,2250000.0,0,500000.0,Reserve Not Met,Office,1986,Jose Cruz,Jeremy Neuer,Steve Simonelli,,,LoopNet,2025-09-30T16:35:38.119000
https://www.loopnet.com/Listing/2900-SW-13th-St-Gainesville-FL/36136438/,Former Hotel Redevelopment Opportunity | 2900 SW 13th St,"2900 SW 13th St, Gainesville, FL 32608",2025-09-29T19:00:00,2025-10-01T18:00:00,1000000.0,0,500000.0,Reserve Not Met,Hospitality,1978,Lucas Mondino,Amen Almukhtar,,,,LoopNet,2025-09-30T16:35:40.960326
https://www.loopnet.com/Listing/281-Main-St-Fitchburg-MA/36924027/,Seven Highly Visible Retail/ Office Condos | 281 Main St,"281 Main St, Fitchburg, MA 01420",2025-10-13T19:00:00,2025-10-15T19:00:00,75000.0,0,50000.0,Reserve Not Met,Retail,1960,Doug Tammelin,Kevin Loudy,,16000,16000,LoopNet,2025-09-30T16:36:11.611687
https://www.loopnet.com/Listing/721-Colorado-Ave-Palo-Alto-CA/30958501/,Midtown Palo Alto Office with Upside | 721 Colorado Ave,"721 Colorado Ave, Palo Alto, CA 94303",2025-11-10T19:00:00,2025-11-12T19:00:00,800000.0,0,250000.0,Reserve Not Met,Office,1964,Jon Goldman,Jesse Ebner,Cheri Mascitelli,6584,6584,LoopNet,2025-09-30T16:36:14.732051
https://www.loopnet.com/Listing/25780-25790-Commerce-Dr-Madison-Heights-MI/28314823/,Flex Office w/  Upside | 1 Medical NNN Tenant | 25780-25790 Commerce Dr,"25790 Commerce Dr, Madison Heights, MI 48071",2025-09-29T19:00:00,2025-10-01T22:00:00,600000.0,0,100000.0,Reserve Not Met,Office,1985,John Van Noord,Garrett Keais,Taylor Cunningham,34116,34116,LoopNet,2025-09-30T16:36:17.932122
https://www.loopnet.com/Listing/5946-5992-W-Jefferson-Blvd-Fort-Wayne-IN/35938212/,Time Corners | Western Building | Robust MSA | 5946-5992 W Jefferson Blvd,"5992 W Jefferson Blvd, Fort Wayne, IN 46804",2025-10-27T18:00:00,2025-10-29T19:30:00,800000.0,0,250000.0,Reserve Not Met,Retail,1960,Jonathan Katz,Bradley Carver,Jameson Kuykendall,37076,37076,LoopNet,2025-09-30T16:36:21.382074
https://www.loopnet.com/Listing/49-Essex-St-New-York-NY/31694706/,Lower East Side Multifamily + 2 Ground Retail | 49 Essex St,"49 Essex St, New York, NY 10002",2025-10-27T18:00:00,2025-10-29T18:30:00,800000.0,0,250000.0,Reserve Not Met,Multifamily,1900,Lorence Dippolito,Nathanael Lewit,Shawn Naim,,,LoopNet,2025-09-30T16:36:24.315768
https://www.loopnet.com/Listing/28-32-E-Main-St-Carnegie-PA/37107551/,Office Building Along Main Street Corridor | 28-32 E Main St,"32 E Main St, Carnegie, PA 15106",2025-10-06T19:00:00,2025-10-08T19:00:00,125000.0,0,50000.0,Reserve Not Met,Office,1955,Caroline Muse,Victoria Quade,,15909,15909,LoopNet,2025-09-30T16:36:27.779343
https://www.loopnet.com/Listing/1417-Route-179-Lambertville-NJ/37148546/,Former School Conversion Opp. On 8.45 Acres | 1417 Route 179,"1417 Route 179, Lambertville, NJ 08530",2025-10-06T19:00:00,2025-10-08T19:00:00,325000.0,0,100000.0,Reserve Not Met,Specialty,1930,Andre Balthazard,Andrew Schwartz,Jordan Sobel,,,LoopNet,2025-09-30T16:36:31.893246
https://www.loopnet.com/Listing/3900-S-Cicero-Ave-Cicero-IL/37739178/,Turnkey Industrial Facility in Chicago MSA | 3900 S Cicero Ave,"3900 S Cicero Ave, Cicero, IL 60804",2025-11-10T19:00:00,2025-11-12T19:00:00,1250000.0,0,250000.0,Reserve Not Met,Industrial,1950,Jake Spinell,Brian Kling,Grant Cochran,,,LoopNet,2025-09-30T16:36:35.147202
https://www.loopnet.com/Listing/1000-1022-South-Petrolia-Avenue-Compton-CA/37387568/,Shovel-Ready Industrial Development | Compton | 1000-1022 South Petrolia Avenue,"1022 South Petrolia Avenue, Compton, CA 90221",2025-10-20T19:00:00,2025-10-22T21:30:00,500000.0,0,100000.0,Reserve Not Met,Land,,Robert Brown,Cheri Mascitelli,,,,LoopNet,2025-09-30T16:36:38.257237
https://www.loopnet.com/Listing/3900-N-US-31-South-Traverse-City-MI/37642675/,STNL | Walgreens with NOI of $500K+ | 3900 N US 31 South,"3900 N US 31 South, Traverse City, MI 49684",2025-11-10T19:00:00,2025-11-12T21:00:00,1300000.0,0,250000.0,Reserve Not Met,Retail,2004,Michael Marzinske,Pace Zambito,,14820,14820,LoopNet,2025-09-30T16:36:41.235800
https://www.loopnet.com/Listing/8470-8520-Allison-Pointe-Blvd-Indianapolis-IN/37524245/,Lake Pointe III & IV | 8470 & 8520 Allison Pointe Blvd,"8470 & 8520 Allison Pointe Blvd, Indianapolis, IN 46250",2025-10-27T18:00:00,2025-10-29T20:30:00,2350000.0,0,500000.0,Reserve Not Met,Office,2000,Barry Swatsenbarg,Matt Terrace,Jonathan Katz,,,LoopNet,2025-09-30T16:36:44.533209
https://www.loopnet.com/Listing/1216-1220-Arch-St-Philadelphia-PA/37292329/,Young Smyth Field Office Condo in CBD | 1216-1220 Arch St,"1220 Arch St, Philadelphia, PA 19107",2025-10-13T19:00:00,2025-10-15T19:00:00,125000.0,0,50000.0,Reserve Not Met,Office,1902,Daniel Gummel,Pace Zambito,,,,LoopNet,2025-09-30T16:37:15.285707
https://www.loopnet.com/Listing/800-S-Mountain-Ave-Ontario-CA/36811733/,High-Visibility Value-Add Retail Center | 800 S Mountain Ave,"800 S Mountain Ave, Ontario, CA 91762",2025-10-20T19:00:00,2025-10-22T22:30:00,2250000.0,0,1000000.0,Reserve Not Met,Retail,1979,Greg Offsay,Caleb Morrison,Jameson Kuykendall,41926,41926,LoopNet,2025-09-30T16:37:18.753422
https://www.loopnet.com/Listing/9237-San-Fernando-Rd-Sun-Valley-CA/36431657/,Renovated Turnkey Flex for Owner User | L.A. | 9237 San Fernando Rd,"9237 San Fernando Rd, Sun Valley, CA 91352",2025-10-13T19:00:00,2025-10-15T21:00:00,2250000.0,0,500000.0,Reserve Not Met,Industrial,1963,Jonathan Krikorian,Jameson Kuykendall,,,,LoopNet,2025-09-30T16:37:50.307781
https://www.loopnet.com/Listing/409-S-Main-St-Memphis-TN/37152421/,Downtown Value-Add Mixed-Use/ Event Building | 409 S Main St,"409 S Main St, Memphis, TN 38103",2025-10-06T19:00:00,2025-10-08T19:00:00,400000.0,0,100000.0,Reserve Not Met,Retail,1910,Landon Williams,Katie Hargett,Keisha Hartshorn,35000,35000,LoopNet,2025-09-30T16:37:53.380578
https://www.loopnet.com/Listing/1200-1250-Eisenhower-Pl-Ann-Arbor-MI/36562871/,1200 Eisenhower Place | 1200-1250 Eisenhower Pl,"1250 Eisenhower Pl, Ann Arbor, MI 48108",2025-12-15T19:00:00,2025-12-17T19:00:00,1500000.0,0,250000.0,Reserve Not Met,Flex,1984,Barry Swatsenbarg,Matt Terrace,Jonathan Katz,,,LoopNet,2025-09-30T16:37:56.356051
https://www.loopnet.com/Listing/132-Main-St-Brattleboro-VT/37548468/,Brooks House | Charming Downtown Mixed-Use | 132 Main St,"132 Main St, Brattleboro, VT 05301",2025-11-03T19:00:00,2025-11-05T22:00:00,2000000.0,0,500000.0,Reserve Not Met,Multifamily,1871,Bruce Lusa,Chris Sower,Pace Zambito,,,LoopNet,2025-09-30T16:37:59.226884
